Player,Country,Team,Assists,Season
Matheus Pereira,Brazil,West Bromwich Albion,17,2019-2020
Jed Wallace,England,Millwall FC,13,2019-2020
Niclas Eliasson,Sweden,Bristol City,12,2019-2020
John Swift,England,Reading FC,10,2019-2020
Jacob Brown,Scotland,Barnsley FC,9,2019-2020
Jack Harrison,England,Leeds United,9,2019-2020
Bright Osayi-Samuel,Nigeria,Queens Park Rangers,9,2019-2020
Pablo Hernández,Spain,Leeds United,9,2019-2020
Lee Tomlin,England,Cardiff City,9,2019-2020
Barry Bannan,Scotland,Sheffield Wednesday,8,2019-2020
Saïd Benrahma,Algeria,Brentford FC,8,2019-2020
Eberechi Eze,England,Queens Park Rangers,8,2019-2020
Conor Gallagher,England,Swansea City,8,2019-2020
Joe Lolley,England,Nottingham Forest,8,2019-2020
Alex Mowatt,England,Barnsley FC,8,2019-2020
Sammy Ameobi,England,Nottingham Forest,7,2019-2020
André Ayew,Ghana,Swansea City,7,2019-2020
Jérémie Bela,Angola,Birmingham City,7,2019-2020
Izzy Brown,England,Luton Town,7,2019-2020
Joe Bryan,England,Fulham FC,7,2019-2020
Stewart Downing,England,Blackburn Rovers,7,2019-2020
Ashley Fletcher,England,Middlesbrough FC,7,2019-2020
Matt Grimes,England,Swansea City,7,2019-2020
Kamil Grosicki,Poland,West Bromwich Albion,7,2019-2020
Ivan Cavaleiro,Portugal,Fulham FC,7,2019-2020
Daniel Johnson,Jamaica,Preston North End,7,2019-2020
Ryan Manning,Ireland,Queens Park Rangers,7,2019-2020
Emiliano Marcondes,Denmark,Brentford FC,7,2019-2020
Bryan Mbeumo,Cameroon,Brentford FC,7,2019-2020
James McClean,Ireland,Stoke City,7,2019-2020
Andreas Weimann,Austria,Bristol City,7,2019-2020
Adam Armstrong,England,Blackburn Rovers,6,2019-2020
Nathan Byrne,England,Wigan Athletic,6,2019-2020
Ilias Chair,Morocco,Queens Park Rangers,6,2019-2020
Maxime Colin,France,Birmingham City,6,2019-2020
Grady Diangana,Congo DR,West Bromwich Albion,6,2019-2020
Jonny Howson,England,Middlesbrough FC,6,2019-2020
Mathias Jensen,Denmark,Brentford FC,6,2019-2020
Chris Martin,Scotland,Derby County,6,2019-2020
Adam Reach,England,Sheffield Wednesday,6,2019-2020
Tom Barkhuizen,England,Preston North End,5,2019-2020
Joe Bennett,England,Cardiff City,5,2019-2020
Jayden Bogle,England,Derby County,5,2019-2020
Jarrod Bowen,England,Hull City,5,2019-2020
James Bree,England,Luton Town,5,2019-2020
Matty Cash,Poland,Nottingham Forest,5,2019-2020
Dan Crowley,England,Birmingham City,5,2019-2020
Ovie Ejaria,England,Reading FC,5,2019-2020
Hélder Costa,Angola,Leeds United,5,2019-2020
Jack Hunt,England,Bristol City,5,2019-2020
Mateusz Klich,Poland,Leeds United,5,2019-2020
Jamal Lowe,Jamaica,Wigan Athletic,5,2019-2020
Connor Mahoney,England,Millwall FC,5,2019-2020
Matthew Phillips,Scotland,West Bromwich Albion,5,2019-2020
Nick Powell,England,Stoke City,5,2019-2020
Marcus Tavernier,England,Middlesbrough FC,5,2019-2020
Luke Thomas,England,Barnsley FC,5,2019-2020
Jonny Williams,Wales,Charlton Athletic,5,2019-2020
Luke Ayling,England,Leeds United,4,2019-2020
Juninho Bacuna,Curaçao,Huddersfield Town,4,2019-2020
Elliott Bennett,Jamaica,Blackburn Rovers,4,2019-2020
Sam Clucas,England,Stoke City,4,2019-2020
Joshua Dasilva,England,Brentford FC,4,2019-2020
Darnell Fisher,England,Preston North End,4,2019-2020
Aden Flint,England,Cardiff City,4,2019-2020
Karlan Grant,England,Huddersfield Town,4,2019-2020
Kadeem Harris,England,Sheffield Wednesday,4,2019-2020
Lewis Holtby,Germany,Blackburn Rovers,4,2019-2020
Michael Jacobs,England,Wigan Athletic,4,2019-2020
Stefan Johansen,Norway,Fulham FC,4,2019-2020
Aboubakar Kamara,Mauritania,Fulham FC,4,2019-2020
Anthony Knockaert,France,Fulham FC,4,2019-2020
Jonathan Leko,England,West Bromwich Albion,4,2019-2020
Jake Livermore,England,West Bromwich Albion,4,2019-2020
Nathaniel Mendez-Laing,Guatemala,Cardiff City,4,2019-2020
Jacob Murphy,England,Sheffield Wednesday,4,2019-2020
Lewis O'Brien,England,Huddersfield Town,4,2019-2020
Jamie Paterson,England,Derby County,4,2019-2020
Ethan Pinnock,Jamaica,Brentford FC,4,2019-2020
Connor Roberts,Wales,Swansea City,4,2019-2020
Naby Sarr,Senegal,Charlton Athletic,4,2019-2020
Matt Smith,England,Millwall FC,4,2019-2020
Tommy Smith,England,Stoke City,4,2019-2020
Tiago Silva,Portugal,Nottingham Forest,4,2019-2020
Ben Watson,England,Nottingham Forest,4,2019-2020
Joe Worrall,England,Nottingham Forest,4,2019-2020
Albert Adomah,Ghana,Nottingham Forest,3,2019-2020
Ezgjan Alioski,North Macedonia,Leeds United,3,2019-2020
Mike-Steven Bähre,Germany,Barnsley FC,3,2019-2020
Jake Bidwell,England,Swansea City,3,2019-2020
Tyler Blackett,England,Reading FC,3,2019-2020
Tom Cairney,England,Fulham FC,3,2019-2020
Conor Chaplin,England,Barnsley FC,3,2019-2020
James Collins,England,Luton Town,3,2019-2020
Harry Cornick,England,Luton Town,3,2019-2020
Stuart Dallas,Northern Ireland,Leeds United,3,2019-2020
Bobby De Cordova-Reid,Jamaica,Fulham FC,3,2019-2020
Alfie Doughty,England,Charlton Athletic,3,2019-2020
Kieran Dowell,England,Wigan Athletic,3,2019-2020
Callum Elder,Australia,Hull City,3,2019-2020
Shane Ferguson,Northern Ireland,Millwall FC,3,2019-2020
Craig Forsyth,Scotland,Derby County,3,2019-2020
Paul Gallagher,Scotland,Preston North End,3,2019-2020
Joe Garner,England,Wigan Athletic,3,2019-2020
Lee Gregory,England,Stoke City,3,2019-2020
Duane Holmes,USA,Derby County,3,2019-2020
George Honeyman,England,Hull City,3,2019-2020
Jackson Irvine,Australia,Hull City,3,2019-2020
Marvin Johnson,England,Middlesbrough FC,3,2019-2020
Lukas Jutkiewicz,England,Birmingham City,3,2019-2020
Elias Kachunga,Congo DR,Huddersfield Town,3,2019-2020
Tom Lawrence,Wales,Derby County,3,2019-2020
Kieran Lee,England,Sheffield Wednesday,3,2019-2020
Leonardo Lopes,Portugal,Hull City,3,2019-2020
Lucas João,Angola,Sheffield Wednesday,3,2019-2020
Garath McCleary,Jamaica,Reading FC,3,2019-2020
Kieffer Moore,Wales,Wigan Athletic,3,2019-2020
Sam Morsy,Egypt,Wigan Athletic,3,2019-2020
Josh Murphy,England,Cardiff City,3,2019-2020
Christian Nørgaard,Denmark,Brentford FC,3,2019-2020
Atdhe Nuhiu,Kosovo,Sheffield Wednesday,3,2019-2020
Jordan Obita,England,Reading FC,3,2019-2020
Josh Onomah,England,Fulham FC,3,2019-2020
Marlon Pack,England,Cardiff City,3,2019-2020
Kasey Palmer,Jamaica,Bristol City,3,2019-2020
George Pușcaș,Romania,Reading FC,3,2019-2020
Joe Ralls,England,Cardiff City,3,2019-2020
Wayne Rooney,England,Derby County,3,2019-2020
Wayne Routledge,England,Swansea City,3,2019-2020
Tommy Rowe,England,Bristol City,3,2019-2020
Sergi Canós,Spain,Brentford FC,3,2019-2020
Jayden Stockley,England,Preston North End,3,2019-2020
Jon Toral,Spain,Hull City,3,2019-2020
Martyn Waghorn,England,Derby County,3,2019-2020
Nahki Wells,Bermuda,Queens Park Rangers,3,2019-2020
Joe Williams,England,Wigan Athletic,3,2019-2020
Andy Yiadom,Ghana,Reading FC,3,2019-2020
Yuri Ribeiro,Portugal,Nottingham Forest,3,2019-2020
Joe Allen,Wales,Stoke City,2,2019-2020
Britt Assombalonga,Congo DR,Middlesbrough FC,2,2019-2020
Charlie Austin,England,West Bromwich Albion,2,2019-2020
Leandro Bacuna,Curaçao,Cardiff City,2,2019-2020
Dominic Ball,Northern Ireland,Queens Park Rangers,2,2019-2020
Patrick Bamford,England,Leeds United,2,2019-2020
Yoann Barbet,France,Queens Park Rangers,2,2019-2020
Kyle Bartley,England,West Bromwich Albion,2,2019-2020
Jude Bellingham,England,Birmingham City,2,2019-2020
