Player,Country,Team,Assists,Season
Leif Davis,England,Ipswich Town,20,2023-2024
Georginio Rutter,France,Leeds United,16,2023-2024
Kiernan Dewsbury-Hall,England,Leicester City,14,2023-2024
Adam Armstrong,England,Southampton FC,13,2023-2024
Abdul Fatawu,Ghana,Leicester City,13,2023-2024
Gabriel Sara,Brazil,Norwich City,12,2023-2024
Crysencio Summerville,Netherlands,Leeds United,10,2023-2024
Luke Ayling,England,Middlesbrough FC,9,2023-2024
Finn Azaz,Ireland,Plymouth Argyle,9,2023-2024
Conor Chaplin,England,Ipswich Town,9,2023-2024
Sorba Thomas,Wales,Huddersfield Town,9,2023-2024
Ilias Chair,Morocco,Queens Park Rangers,8,2023-2024
Grady Diangana,Congo DR,West Bromwich Albion,8,2023-2024
Mads Frøkjær-Jensen,Denmark,Preston North End,8,2023-2024
Morgan Whittaker,England,Plymouth Argyle,8,2023-2024
Stuart Armstrong,Scotland,Southampton FC,7,2023-2024
Yáser Asprilla,Colombia,Watford FC,7,2023-2024
Luke Cundle,England,Stoke City,7,2023-2024
Junior Firpo,Dom. Republic,Leeds United,7,2023-2024
Dan James,Wales,Leeds United,7,2023-2024
Joe Ralls,England,Cardiff City,7,2023-2024
Juninho Bacuna,Curaçao,Birmingham City,6,2023-2024
Matt Crooks,England,Middlesbrough FC,6,2023-2024
George Hirst,England,Ipswich Town,6,2023-2024
Ki-Jana Hoever,Netherlands,Stoke City,6,2023-2024
Stephy Mavididi,England,Leicester City,6,2023-2024
Koji Miyoshi,Japan,Birmingham City,6,2023-2024
Andrew Moran,Ireland,Blackburn Rovers,6,2023-2024
Sam Morsy,Egypt,Ipswich Town,6,2023-2024
Jamie Paterson,England,Swansea City,6,2023-2024
Jaden Philogene,England,Hull City,6,2023-2024
Alex Pritchard,England,Sunderland AFC,6,2023-2024
Morgan Rogers,England,Middlesbrough FC,6,2023-2024
Jack Stacey,England,Norwich City,6,2023-2024
Josh Tymon,England,Swansea City,6,2023-2024
Haji Wright,USA,Coventry City,6,2023-2024
Jun-ho Bae,South Korea,Stoke City,5,2023-2024
Ashley Barnes,England,Norwich City,5,2023-2024
Callum Brittain,England,Blackburn Rovers,5,2023-2024
David Brooks,Wales,Southampton FC,5,2023-2024
Liam Cullen,Wales,Swansea City,5,2023-2024
Patson Daka,Zambia,Leicester City,5,2023-2024
Josh Eccles,England,Coventry City,5,2023-2024
Zian Flemming,Netherlands,Millwall FC,5,2023-2024
Darnell Furlong,England,West Bromwich Albion,5,2023-2024
Matt Grimes,England,Swansea City,5,2023-2024
Duane Holmes,USA,Preston North End,5,2023-2024
Omari Hutchinson,Jamaica,Ipswich Town,5,2023-2024
Kenny McLean,Scotland,Norwich City,5,2023-2024
Liam Millar,Canada,Preston North End,5,2023-2024
Tyler Morton,England,Hull City,5,2023-2024
Alex Mowatt,England,West Bromwich Albion,5,2023-2024
Anthony Musaba,Netherlands,Sheffield Wednesday,5,2023-2024
Wilfred Ndidi,Nigeria,Leicester City,5,2023-2024
Dan Neil,England,Sunderland AFC,5,2023-2024
Milan van Ewijk,Netherlands,Coventry City,5,2023-2024
Jed Wallace,England,West Bromwich Albion,5,2023-2024
Joe Williams,England,Bristol City,5,2023-2024
Ché Adams,Scotland,Southampton FC,4,2023-2024
Lucas Andersen,Denmark,Queens Park Rangers,4,2023-2024
Abdoullah Ba,France,Sunderland AFC,4,2023-2024
Alan Browne,Ireland,Preston North End,4,2023-2024
Wouter Burger,Netherlands,Stoke City,4,2023-2024
Wes Burns,Wales,Ipswich Town,4,2023-2024
Jack Clarke,England,Sunderland AFC,4,2023-2024
Jamilu Collins,Nigeria,Cardiff City,4,2023-2024
Tyrhys Dolan,England,Blackburn Rovers,4,2023-2024
Taylor Gardner-Hickman,England,West Bromwich Albion,4,2023-2024
Dimitris Giannoulis,Greece,Norwich City,4,2023-2024
Jacob Greaves,England,Hull City,4,2023-2024
Ryan Hardie,Scotland,Plymouth Argyle,4,2023-2024
Marvin Johnson,England,Sheffield Wednesday,4,2023-2024
Isaiah Jones,England,Middlesbrough FC,4,2023-2024
Jamal Lowe,Jamaica,Swansea City,4,2023-2024
Perry Ng,England,Cardiff City,4,2023-2024
Brooke Norton-Cuffy,England,Millwall FC,4,2023-2024
Kasey Palmer,Jamaica,Coventry City,4,2023-2024
Charlie Patino,England,Swansea City,4,2023-2024
Joe Rankin-Costello,England,Blackburn Rovers,4,2023-2024
George Saville,Northern Ireland,Millwall FC,4,2023-2024
Ken Sema,Sweden,Watford FC,4,2023-2024
Jean Seri,Ivory Coast,Hull City,4,2023-2024
Mark Sykes,Ireland,Bristol City,4,2023-2024
Sammie Szmodics,Ireland,Blackburn Rovers,4,2023-2024
Conor Townsend,England,West Bromwich Albion,4,2023-2024
Chris Willock,England,Queens Park Rangers,4,2023-2024
Ryan Wintle,England,Cardiff City,4,2023-2024
Sinclair Armstrong,Ireland,Queens Park Rangers,3,2023-2024
Vakoun Bayo,Ivory Coast,Watford FC,3,2023-2024
Borja Sainz,Spain,Norwich City,3,2023-2024
Tom Bradshaw,Wales,Millwall FC,3,2023-2024
Cohen Bramall,England,Rotherham United,3,2023-2024
Nathan Broadhead,Wales,Ipswich Town,3,2023-2024
Cafú,Portugal,Rotherham United,3,2023-2024
Giorgi Chakvetadze,Georgia,Watford FC,3,2023-2024
Matt Clarke,England,Middlesbrough FC,3,2023-2024
Jay Dasilva,Wales,Coventry City,3,2023-2024
Cody Drameh,England,Leeds United,3,2023-2024
Samuel Edozie,England,Southampton FC,3,2023-2024
Lukas Engel,Denmark,Middlesbrough FC,3,2023-2024
Tom Fellows,England,West Bromwich Albion,3,2023-2024
Sam Gallagher,England,Blackburn Rovers,3,2023-2024
Djeidi Gassama,France,Sheffield Wednesday,3,2023-2024
Alex Gilbert,Ireland,Middlesbrough FC,3,2023-2024
Sam Greenwood,England,Middlesbrough FC,3,2023-2024
Taylor Harwood-Bellis,England,Southampton FC,3,2023-2024
Ryan Hedges,Wales,Blackburn Rovers,3,2023-2024
Onel Hernández,Cuba,Norwich City,3,2023-2024
James Hill,England,Blackburn Rovers,3,2023-2024
Wesley Hoedt,Netherlands,Watford FC,3,2023-2024
Kayden Jackson,England,Ipswich Town,3,2023-2024
Alfie Jones,England,Hull City,3,2023-2024
Glen Kamara,Finland,Leeds United,3,2023-2024
Will Keane,Ireland,Preston North End,3,2023-2024
Jason Knight,Ireland,Bristol City,3,2023-2024
Ismaël Koné,Canada,Watford FC,3,2023-2024
Ryan Longman,England,Millwall FC,3,2023-2024
Imrân Louza,Morocco,Watford FC,3,2023-2024
Ryan Mmaee,Morocco,Stoke City,3,2023-2024
Bali Mumba,England,Plymouth Argyle,3,2023-2024
Sam Nombe,England,Rotherham United,3,2023-2024
Marcelino Núñez,Chile,Norwich City,3,2023-2024
Callum O'Hare,England,Coventry City,3,2023-2024
Matthew Phillips,Scotland,West Bromwich Albion,3,2023-2024
Joël Piroe,Netherlands,Swansea City,3,2023-2024
Ryan Porteous,Scotland,Watford FC,3,2023-2024
Cameron Pring,England,Bristol City,3,2023-2024
Ricardo Pereira,Portugal,Leicester City,3,2023-2024
Jack Rudoni,England,Huddersfield Town,3,2023-2024
Will Smallbone,Ireland,Southampton FC,3,2023-2024
Kamaldeen Sulemana,Ghana,Southampton FC,3,2023-2024
Ivan Šunjić,Croatia,Birmingham City,3,2023-2024
Scott Twine,England,Hull City,3,2023-2024
Will Vaulks,Wales,Sheffield Wednesday,3,2023-2024
Kyle Walker-Peters,England,Southampton FC,3,2023-2024
Andreas Weimann,Austria,West Bromwich Albion,3,2023-2024
Adam Wharton,England,Blackburn Rovers,3,2023-2024
Yunus Akgün,Turkey,Leicester City,2,2023-2024
Keshi Anderson,England,Birmingham City,2,2023-2024
Ryan Andrews,England,Watford FC,2,2023-2024
Adil Aouchiche,France,Sunderland AFC,2,2023-2024
Barry Bannan,Scotland,Sheffield Wednesday,2,2023-2024
Daniel Barlaser,England,Middlesbrough FC,2,2023-2024
Di'Shon Bernard,Jamaica,Sheffield Wednesday,2,2023-2024
Jake Bidwell,England,Coventry City,2,2023-2024
Robbie Brady,Ireland,Preston North End,2,2023-2024
Delano Burgzorg,Netherlands,Huddersfield Town,2,2023-2024
Sam Byram,England,Leeds United,2,2023-2024
Allan Campbell,Scotland,Millwall FC,2,2023-2024
Hayden Carter,England,Blackburn Rovers,2,2023-2024
Cyrus Christie,Ireland,Hull City,2,2023-2024
Sam Clucas,England,Rotherham United,2,2023-2024
Rubin Colwill,Wales,Cardiff City,2,2023-2024
Ollie Cooper,Wales,Swansea City,2,2023-2024
Harry Darling,England,Swansea City,2,2023-2024
Liam Delap,England,Hull City,2,2023-2024
Tom Dele-Bashiru,Nigeria,Watford FC,2,2023-2024
Alfie Devine,England,Plymouth Argyle,2,2023-2024
Brahima Diarra,Mali,Huddersfield Town,2,2023-2024
Flynn Downes,England,Southampton FC,2,2023-2024
George Edmundson,England,Ipswich Town,2,2023-2024
Pierre Ekwah,France,Sunderland AFC,2,2023-2024
Fabio Carvalho,Portugal,Hull City,2,2023-2024
Christian Fassnacht,Switzerland,Norwich City,2,2023-2024
Sam Field,England,Queens Park Rangers,2,2023-2024
Adam Forshaw,England,Plymouth Argyle,2,2023-2024
Marcus Forss,Finland,Middlesbrough FC,2,2023-2024
Ryan Fraser,Scotland,Southampton FC,2,2023-2024
Wilfried Gnonto,Italy,Leeds United,2,2023-2024
Karlan Grant,England,Cardiff City,2,2023-2024
Archie Gray,England,Leeds United,2,2023-2024
Sead Hakšabanović,Montenegro,Stoke City,2,2023-2024
Jaheim Headley,England,Huddersfield Town,2,2023-2024
Scott Hogan,Ireland,Birmingham City,2,2023-2024
George Honeyman,England,Millwall FC,2,2023-2024
Jonny Howson,England,Middlesbrough FC,2,2023-2024
Andrew Hughes,Wales,Preston North End,2,2023-2024
Michael Ihiekwe,England,Sheffield Wednesday,2,2023-2024
Tom Ince,England,Watford FC,2,2023-2024
Dominic Iorfa,England,Sheffield Wednesday,2,2023-2024
Daniel Johnson,Jamaica,Stoke City,2,2023-2024
James Justin,England,Leicester City,2,2023-2024
Edo Kayembe,Congo DR,Watford FC,2,2023-2024
Kaine Kesler-Hayden,England,Plymouth Argyle,2,2023-2024
Josh Koroma,England,Huddersfield Town,2,2023-2024
Josh Laurent,England,Stoke City,2,2023-2024
Tom Lees,England,Huddersfield Town,2,2023-2024
Harry Leonard,England,Blackburn Rovers,2,2023-2024
Mehdi Léris,Algeria,Stoke City,2,2023-2024
Jamal Lewis,Northern Ireland,Watford FC,2,2023-2024
Ryan Manning,Ireland,Southampton FC,2,2023-2024
Matheus Martins,Brazil,Watford FC,2,2023-2024
Billy Mitchell,England,Millwall FC,2,2023-2024
Sean Morrison,England,Rotherham United,2,2023-2024
Kal Naismith,Scotland,Bristol City,2,2023-2024
Yuta Nakayama,Japan,Huddersfield Town,2,2023-2024
Abdülkadir Ömür,Turkey,Hull City,2,2023-2024
Fred Onyedinma,Nigeria,Rotherham United,2,2023-2024
Milutin Osmajić,Montenegro,Preston North End,2,2023-2024
Adam Randell,England,Plymouth Argyle,2,2023-2024
Sebastian Revan,England,Rotherham United,2,2023-2024
Emil Riis,Denmark,Preston North End,2,2023-2024
Patrick Roberts,England,Sunderland AFC,2,2023-2024
Callum Robinson,Ireland,Cardiff City,2,2023-2024
Jonathan Rowe,England,Norwich City,2,2023-2024
Tatsuhiro Sakamoto,Japan,Coventry City,2,2023-2024
Josh Sargent,USA,Norwich City,2,2023-2024
Arnór Sigurðsson,Iceland,Blackburn Rovers,2,2023-2024
