Player,Country,Team,Assists,Season
Alan Judge,Ireland,Brentford FC,12,2015-2016
Clayton Donaldson,England,Birmingham City,11,2015-2016
Andre Gray,Jamaica,Burnley FC,11,2015-2016
Jóhann Guðmundsson,Iceland,Charlton Athletic,11,2015-2016
Chris Martin,Scotland,Derby County,9,2015-2016
Ross McCormack,Scotland,Fulham FC,9,2015-2016
Johnny Russell,Scotland,Derby County,9,2015-2016
Freddie Sears,England,Ipswich Town,9,2015-2016
Joe Bryan,England,Bristol City,8,2015-2016
Harry Bunn,England,Huddersfield Town,8,2015-2016
Sam Clucas,England,Hull City,8,2015-2016
Josh Murphy,England,Milton Keynes Dons,8,2015-2016
Oliver Norwood,Northern Ireland,Reading FC,8,2015-2016
David Nugent,England,Middlesbrough FC,8,2015-2016
Atdhe Nuhiu,Kosovo,Sheffield Wednesday,8,2015-2016
Hal Robson-Kanu,Wales,Reading FC,8,2015-2016
Ross Wallace,Scotland,Sheffield Wednesday,8,2015-2016
Danny Ward,England,Rotherham United,8,2015-2016
George Boyd,Scotland,Burnley FC,7,2015-2016
Fernando Forestieri,Italy,Sheffield Wednesday,7,2015-2016
James Henry,England,Wolverhampton Wanderers,7,2015-2016
David Jones,England,Burnley FC,7,2015-2016
Beram Kayal,Israel,Brighton & Hove Albion,7,2015-2016
Anthony Knockaert,France,Brighton & Hove Albion,7,2015-2016
Joe Ralls,England,Cardiff City,7,2015-2016
Peter Whittingham,England,Cardiff City,7,2015-2016
Mirco Antenucci,Italy,Leeds United,6,2015-2016
Scott Arfield,Canada,Burnley FC,6,2015-2016
Tom Cairney,England,Fulham FC,6,2015-2016
Samir Carruthers,Ireland,Milton Keynes Dons,6,2015-2016
Luke Chambers,England,Ipswich Town,6,2015-2016
David Cotterill,Wales,Birmingham City,6,2015-2016
Stuart Dallas,Northern Ireland,Leeds United,6,2015-2016
Moussa Dembélé,France,Fulham FC,6,2015-2016
Ahmed Elmohamady,Egypt,Hull City,6,2015-2016
Alejandro Faurlín,Argentina,Queens Park Rangers,6,2015-2016
Liam Feeney,England,Ipswich Town,6,2015-2016
Luke Freeman,England,Bristol City,6,2015-2016
Joe Garner,England,Preston North End,6,2015-2016
Tomer Hemed,Israel,Brighton & Hove Albion,6,2015-2016
Tom Ince,England,Derby County,6,2015-2016
Konstantin Kerschbaumer,Austria,Brentford FC,6,2015-2016
Massimo Luongo,Australia,Queens Park Rangers,6,2015-2016
Ryan Mendes,Cape Verde,Nottingham Forest,6,2015-2016
Jiří Skalák,Czech Republic,Brighton & Hove Albion,6,2015-2016
Robert Snodgrass,Scotland,Hull City,6,2015-2016
Charlie Taylor,England,Leeds United,6,2015-2016
Albert Adomah,Ghana,Middlesbrough FC,5,2015-2016
Jake Bidwell,England,Brentford FC,5,2015-2016
Craig Conway,Scotland,Blackburn Rovers,5,2015-2016
Mark Davies,England,Bolton Wanderers,5,2015-2016
Stewart Downing,England,Middlesbrough FC,5,2015-2016
Lee Frecklington,Ireland,Rotherham United,5,2015-2016
Paul Gallagher,Scotland,Preston North End,5,2015-2016
Jordan Graham,England,Wolverhampton Wanderers,5,2015-2016
James Husband,England,Middlesbrough FC,5,2015-2016
Yann Kermorgant,France,Reading FC,5,2015-2016
Henri Lansbury,England,Nottingham Forest,5,2015-2016
Dean Moxey,England,Bolton Wanderers,5,2015-2016
Joe Newell,England,Rotherham United,5,2015-2016
Ben Osborn,England,Nottingham Forest,5,2015-2016
Matthew Phillips,Scotland,Queens Park Rangers,5,2015-2016
Anthony Pilkington,Ireland,Cardiff City,5,2015-2016
Sebastian Polter,Germany,Queens Park Rangers,5,2015-2016
Jamie Ward,Northern Ireland,Nottingham Forest,5,2015-2016
Tony Watt,Scotland,Charlton Athletic,5,2015-2016
Tony Andreu,France,Rotherham United,4,2015-2016
Sam Baldock,England,Brighton & Hove Albion,4,2015-2016
Nick Blackman,Barbados,Reading FC,4,2015-2016
Tjaronn Chery,Suriname,Queens Park Rangers,4,2015-2016
Momo Diamé,Senegal,Hull City,4,2015-2016
Matt Doherty,Ireland,Wolverhampton Wanderers,4,2015-2016
Tom Huddlestone,England,Hull City,4,2015-2016
Adam Le Fondre,England,Wolverhampton Wanderers,4,2015-2016
Scott Malone,England,Cardiff City,4,2015-2016
Alex Mowatt,England,Leeds United,4,2015-2016
Daryl Murphy,Ireland,Ipswich Town,4,2015-2016
Jamie Murphy,Scotland,Brighton & Hove Albion,4,2015-2016
Jamie Paterson,England,Nottingham Forest,4,2015-2016
Andy Robertson,Scotland,Hull City,4,2015-2016
Sean Scannell,Ireland,Huddersfield Town,4,2015-2016
Sergi Canós,Spain,Brentford FC,4,2015-2016
Tommy Smith,England,Huddersfield Town,4,2015-2016
Dale Stephens,England,Brighton & Hove Albion,4,2015-2016
John Swift,England,Brentford FC,4,2015-2016
George Thorne,England,Derby County,4,2015-2016
Jon Toral,Spain,Birmingham City,4,2015-2016
Lasse Vigen,Denmark,Fulham FC,4,2015-2016
Sam Vokes,Wales,Burnley FC,4,2015-2016
Wellington Silva,Brazil,Bolton Wanderers,4,2015-2016
Nahki Wells,Bermuda,Huddersfield Town,4,2015-2016
Chris Wood,New Zealand,Leeds United,4,2015-2016
Sammy Ameobi,England,Cardiff City,3,2015-2016
Joey Barton,England,Burnley FC,3,2015-2016
Elliott Bennett,Jamaica,Bristol City,3,2015-2016
Nathan Byrne,England,Wolverhampton Wanderers,3,2015-2016
Cyrus Christie,Ireland,Derby County,3,2015-2016
Greg Cunningham,Ireland,Preston North End,3,2015-2016
Bobby De Cordova-Reid,Jamaica,Bristol City,3,2015-2016
Shane Duffy,Ireland,Blackburn Rovers,3,2015-2016
Diego Fabbrini,Italy,Middlesbrough FC,3,2015-2016
Fábio,Brazil,Cardiff City,3,2015-2016
Ryan Fraser,Scotland,Ipswich Town,3,2015-2016
George Friend,England,Middlesbrough FC,3,2015-2016
Stephen Gleeson,Ireland,Birmingham City,3,2015-2016
Robert Hall,England,Milton Keynes Dons,3,2015-2016
Jeff Hendrick,Ireland,Derby County,3,2015-2016
Clint Hill,England,Queens Park Rangers,3,2015-2016
Gary Hooper,England,Sheffield Wednesday,3,2015-2016
Emyr Huws,Wales,Huddersfield Town,3,2015-2016
Jonathan Kodjia,Ivory Coast,Bristol City,3,2015-2016
Tom Lawrence,Wales,Cardiff City,3,2015-2016
Grant Leadbitter,England,Middlesbrough FC,3,2015-2016
Eric Lichaj,USA,Nottingham Forest,3,2015-2016
Matthew Lowton,England,Burnley FC,3,2015-2016
Lucas João,Angola,Sheffield Wednesday,3,2015-2016
Ainsley Maitland-Niles,England,Ipswich Town,3,2015-2016
Simon Makienok,Denmark,Charlton Athletic,3,2015-2016
Jamie O'Hara,England,Fulham FC,3,2015-2016
James Perch,England,Queens Park Rangers,3,2015-2016
Brett Pitman,England,Ipswich Town,3,2015-2016
Daniel Pudil,Czech Republic,Sheffield Wednesday,3,2015-2016
Adam Reach,England,Preston North End,3,2015-2016
Jordan Rhodes,Scotland,Middlesbrough FC,3,2015-2016
Richard Smallwood,England,Rotherham United,3,2015-2016
Korey Smith,England,Bristol City,3,2015-2016
Tommy Smith,New Zealand,Ipswich Town,3,2015-2016
James Tarkowski,England,Burnley FC,3,2015-2016
Lee Tomlin,England,Bristol City,3,2015-2016
Lasse Vibe,Denmark,Brentford FC,3,2015-2016
Matěj Vydra,Czech Republic,Reading FC,3,2015-2016
Stephen Ward,Ireland,Burnley FC,3,2015-2016
Aaron Wilbraham,England,Bristol City,3,2015-2016
Richard Wood,England,Rotherham United,3,2015-2016
Chuba Akpom,England,Hull City,2,2015-2016
Álex López,Spain,Sheffield Wednesday,2,2015-2016
Luke Ayling,England,Bristol City,2,2015-2016
Barry Bannan,Scotland,Sheffield Wednesday,2,2015-2016
Yoann Barbet,France,Brentford FC,2,2015-2016
Gaetano Berardi,Switzerland,Leeds United,2,2015-2016
Zakarya Bergdich,Morocco,Charlton Athletic,2,2015-2016
Dexter Blackstock,Antigua & Barbuda,Nottingham Forest,2,2015-2016
Gaëtan Bong,Cameroon,Brighton & Hove Albion,2,2015-2016
Dean Bowditch,England,Milton Keynes Dons,2,2015-2016
Kirk Broadfoot,Scotland,Rotherham United,2,2015-2016
Kévin Bru,Mauritius,Ipswich Town,2,2015-2016
Bruno Saltor,Spain,Brighton & Hove Albion,2,2015-2016
Mustapha Carayol,Gambia,Middlesbrough FC,2,2015-2016
Tom Clarke,England,Preston North End,2,2015-2016
Jonson Clarke-Harris,England,Rotherham United,2,2015-2016
Conor Coady,England,Wolverhampton Wanderers,2,2015-2016
Maxime Colin,France,Brentford FC,2,2015-2016
Lewis Cook,England,Leeds United,2,2015-2016
Liam Cooper,Scotland,Leeds United,2,2015-2016
Kyle Dempsey,England,Huddersfield Town,2,2015-2016
Matt Derbyshire,England,Rotherham United,2,2015-2016
Souleymane Doukara,Senegal,Leeds United,2,2015-2016
David Edwards,Wales,Wolverhampton Wanderers,2,2015-2016
Leroy Fer,Netherlands,Queens Park Rangers,2,2015-2016
Aden Flint,England,Bristol City,2,2015-2016
Adam Forshaw,England,Middlesbrough FC,2,2015-2016
Jake Forster-Caskey,England,Milton Keynes Dons,2,2015-2016
Morgan Fox,Wales,Charlton Athletic,2,2015-2016
Sam Gallagher,England,Milton Keynes Dons,2,2015-2016
Scott Golbourne,England,Wolverhampton Wanderers,2,2015-2016
Matt Grimes,England,Blackburn Rovers,2,2015-2016
Chris Gunter,Wales,Reading FC,2,2015-2016
Adam Henley,Wales,Blackburn Rovers,2,2015-2016
Emile Heskey,England,Bolton Wanderers,2,2015-2016
Junior Hoilett,Canada,Queens Park Rangers,2,2015-2016
Chris Humphrey,Jamaica,Preston North End,2,2015-2016
Ola John,Netherlands,Reading FC,2,2015-2016
Bradley Johnson,England,Derby County,2,2015-2016
Daniel Johnson,Jamaica,Preston North End,2,2015-2016
Kenwyne Jones,Trinidad & Tobago,Cardiff City,2,2015-2016
Michael Keane,England,Burnley FC,2,2015-2016
Michael Kightly,England,Burnley FC,2,2015-2016
Matt Kilgallon,England,Blackburn Rovers,2,2015-2016
Jonas Knudsen,Denmark,Ipswich Town,2,2015-2016
Bengali-Fodé Koita,Guinea,Blackburn Rovers,2,2015-2016
Kieran Lee,England,Sheffield Wednesday,2,2015-2016
Darragh Lenihan,Ireland,Blackburn Rovers,2,2015-2016
Dean Lewington,England,Milton Keynes Dons,2,2015-2016
Jake Livermore,England,Hull City,2,2015-2016
Joe Lolley,England,Huddersfield Town,2,2015-2016
Lucas Piazón,Brazil,Reading FC,2,2015-2016
Michael Madl,Austria,Fulham FC,2,2015-2016
Jacques Maghoma,Congo DR,Birmingham City,2,2015-2016
Chris Maguire,Scotland,Rotherham United,2,2015-2016
Shaun Maloney,Scotland,Hull City,2,2015-2016
Dean Marney,England,Burnley FC,2,2015-2016
Joe Mattock,England,Rotherham United,2,2015-2016
Nicky Maynard,England,Milton Keynes Dons,2,2015-2016
Alan McCormack,Ireland,Brentford FC,2,2015-2016
Kevin McDonald,Scotland,Wolverhampton Wanderers,2,2015-2016
Michael Morrison,England,Birmingham City,2,2015-2016
Marco Motta,Italy,Charlton Athletic,2,2015-2016
Luke Murphy,England,Leeds United,2,2015-2016
Emilio N'Sue,Equatorial Guinea,Middlesbrough FC,2,2015-2016
Craig Noone,England,Cardiff City,2,2015-2016
Chris O'Grady,England,Nottingham Forest,2,2015-2016
Moses Odubajo,England,Hull City,2,2015-2016
Sheyi Ojo,England,Wolverhampton Wanderers,2,2015-2016
Marcus Olsson,Sweden,Derby County,2,2015-2016
Nedum Onuoha,England,Queens Park Rangers,2,2015-2016
