Player,Country,Team,Assists,Season
Jack Clarke,England,Sunderland AFC,11,2022-2023
Ryan Giles,England,Middlesbrough FC,11,2022-2023
Iliman Ndiaye,Senegal,Sheffield United,11,2022-2023
Viktor Gyökeres,Sweden,Coventry City,10,2022-2023
Gustavo Hamer,Netherlands,Coventry City,10,2022-2023
Ryan Manning,Ireland,Swansea City,10,2022-2023
Ilias Chair,Morocco,Queens Park Rangers,9,2022-2023
John Swift,England,West Bromwich Albion,9,2022-2023
Daniel Barlaser,England,Rotherham United,8,2022-2023
Josh Brownhill,England,Burnley FC,8,2022-2023
James McClean,Ireland,Wigan Athletic,8,2022-2023
Ken Sema,Sweden,Watford FC,8,2022-2023
Sorba Thomas,Wales,Huddersfield Town,8,2022-2023
Jed Wallace,England,West Bromwich Albion,8,2022-2023
Matt Grimes,England,Swansea City,7,2022-2023
Teemu Pukki,Finland,Norwich City,7,2022-2023
Patrick Roberts,England,Sunderland AFC,7,2022-2023
Cameron Archer,England,Middlesbrough FC,6,2022-2023
Juninho Bacuna,Curaçao,Birmingham City,6,2022-2023
Robbie Brady,Ireland,Preston North End,6,2022-2023
Matt Crooks,England,Middlesbrough FC,6,2022-2023
Tyrhys Dolan,England,Blackburn Rovers,6,2022-2023
Jóhann Guðmundsson,Iceland,Burnley FC,6,2022-2023
Stefan Johansen,Norway,Queens Park Rangers,6,2022-2023
Ian Maatsen,Netherlands,Burnley FC,6,2022-2023
Carlton Morris,England,Luton Town,6,2022-2023
Cameron Pring,England,Bristol City,6,2022-2023
Alex Pritchard,England,Sunderland AFC,6,2022-2023
Connor Roberts,Wales,Burnley FC,6,2022-2023
Callum Robinson,Ireland,West Bromwich Albion,6,2022-2023
Ismaïla Sarr,Senegal,Watford FC,6,2022-2023
Nahki Wells,Bermuda,Bristol City,6,2022-2023
Anass Zaroury,Morocco,Burnley FC,6,2022-2023
Sander Berge,Norway,Sheffield United,5,2022-2023
Tyrese Campbell,England,Stoke City,5,2022-2023
Tahith Chong,Netherlands,Birmingham City,5,2022-2023
Alfie Doughty,England,Luton Town,5,2022-2023
Shane Ferguson,Northern Ireland,Rotherham United,5,2022-2023
Marcus Forss,Finland,Middlesbrough FC,5,2022-2023
Dwight Gayle,England,Stoke City,5,2022-2023
Onel Hernández,Cuba,Norwich City,5,2022-2023
Isaiah Jones,England,Middlesbrough FC,5,2022-2023
Max Lowe,England,Sheffield United,5,2022-2023
Hannibal Mejbri,Tunisia,Birmingham City,5,2022-2023
Oliver Norwood,Northern Ireland,Sheffield United,5,2022-2023
