Player,Country,Team,Assists,Season
Carlton Cole,England,West Ham United,2,2011-2012
James Coppinger,England,Doncaster Rovers,2,2011-2012
Jimmy Kébé,France,Reading FC,2,2011-2012
Chris Burke,Scotland,Birmingham City,1,2011-2012
Kalifa Cissé,Mali,Bristol City,1,2011-2012
Adam Clayton,England,Leeds United,1,2011-2012
Nathaniel Clyne,England,Crystal Palace,1,2011-2012
Andy Dawson,England,Hull City,1,2011-2012
Guy Demel,Ivory Coast,West Ham United,1,2011-2012
John Eustace,England,Watford FC,1,2011-2012
Harry Kane,England,Millwall FC,1,2011-2012
Dave Kitson,England,Portsmouth FC,1,2011-2012
Grant Leadbitter,England,Ipswich Town,1,2011-2012
Tom Lees,England,Leeds United,1,2011-2012
Jordon Mutch,England,Birmingham City,1,2011-2012
Kevin Nolan,England,West Ham United,1,2011-2012
Oliver Norwood,Northern Ireland,Coventry City,1,2011-2012
David Nugent,England,Leicester City,1,2011-2012
Billy Paynter,England,Leeds United,1,2011-2012
Paul Robinson,England,Millwall FC,1,2011-2012
Barry Robson,Scotland,Middlesbrough FC,1,2011-2012
Billy Sharp,England,Southampton FC,1,2011-2012
Robert Snodgrass,Scotland,Leeds United,1,2011-2012
Andrew Taylor,England,Cardiff City,1,2011-2012
Ross Wallace,Scotland,Burnley FC,1,2011-2012
Martyn Woolford,England,Bristol City,1,2011-2012
