Player,Country,Team,Assists,Season
Harry Wilson,Wales,Fulham FC,19,2021-2022
John Swift,England,Reading FC,13,2021-2022
Antoine Semenyo,Ghana,Bristol City,12,2021-2022
Jed Wallace,England,Millwall FC,12,2021-2022
Sorba Thomas,Wales,Huddersfield Town,11,2021-2022
Chris Willock,England,Queens Park Rangers,11,2021-2022
Philip Billing,Denmark,AFC Bournemouth,10,2021-2022
Ryan Giles,England,Cardiff City,10,2021-2022
Gustavo Hamer,Netherlands,Coventry City,10,2021-2022
Brennan Johnson,Wales,Nottingham Forest,10,2021-2022
Joe Rothwell,England,Blackburn Rovers,10,2021-2022
Andreas Weimann,Austria,Bristol City,10,2021-2022
Morgan Gibbs-White,England,Sheffield United,9,2021-2022
Isaiah Jones,England,Middlesbrough FC,9,2021-2022
Jamie Paterson,England,Swansea City,9,2021-2022
Callum Robinson,Ireland,West Bromwich Albion,9,2021-2022
Ryan Christie,Scotland,AFC Bournemouth,8,2021-2022
Bobby De Cordova-Reid,Jamaica,Fulham FC,8,2021-2022
James Garner,England,Nottingham Forest,8,2021-2022
Callum O'Hare,England,Coventry City,8,2021-2022
John Buckley,England,Blackburn Rovers,7,2021-2022
Harrison Burrows,England,Peterborough United,7,2021-2022
Fabio Carvalho,Portugal,Fulham FC,7,2021-2022
Aleksandar Mitrović,Serbia,Fulham FC,7,2021-2022
Kal Naismith,Scotland,Luton Town,7,2021-2022
Billy Sharp,England,Sheffield United,7,2021-2022
Dominic Solanke,England,AFC Bournemouth,7,2021-2022
Harry Toffolo,England,Huddersfield Town,7,2021-2022
Philip Zinckernagel,Denmark,Nottingham Forest,7,2021-2022
Jaidon Anthony,England,AFC Bournemouth,6,2021-2022
James Bree,England,Luton Town,6,2021-2022
Karlan Grant,England,West Bromwich Albion,6,2021-2022
Neeskens Kebano,Congo DR,Fulham FC,6,2021-2022
Chris Martin,Scotland,Bristol City,6,2021-2022
Joël Piroe,Netherlands,Swansea City,6,2021-2022
Joe Ralls,England,Cardiff City,6,2021-2022
Jean Seri,Ivory Coast,Fulham FC,6,2021-2022
Tommy Smith,England,Stoke City,6,2021-2022
Amine Bassi,Morocco,Barnsley FC,5,2021-2022
Alan Browne,Ireland,Preston North End,5,2021-2022
Ilias Chair,Morocco,Queens Park Rangers,5,2021-2022
Kenny Dougall,Australia,Blackpool FC,5,2021-2022
Viktor Gyökeres,Sweden,Coventry City,5,2021-2022
Cameron Jerome,Grenada,Luton Town,5,2021-2022
Stefan Johansen,Norway,Queens Park Rangers,5,2021-2022
Daniel Johnson,Jamaica,Preston North End,5,2021-2022
Tom Lawrence,Wales,Derby County,5,2021-2022
Scott Malone,England,Millwall FC,5,2021-2022
Emil Riis,Denmark,Preston North End,5,2021-2022
Marcus Tavernier,England,Middlesbrough FC,5,2021-2022
Mario Vrančić,Bosnia-Herzegovina,Stoke City,5,2021-2022
Elijah Adebayo,England,Luton Town,4,2021-2022
Keshi Anderson,England,Blackpool FC,4,2021-2022
Jérémie Bela,Angola,Birmingham City,4,2021-2022
Jacob Brown,Scotland,Stoke City,4,2021-2022
Tom Cairney,England,Fulham FC,4,2021-2022
