Player,Country,Team,Assists,Season
Saïd Benrahma,Algeria,Brentford FC,14,2018-2019
Kamil Grosicki,Poland,Hull City,12,2018-2019
Pablo Hernández,Spain,Leeds United,12,2018-2019
Barry Bannan,Scotland,Sheffield Wednesday,11,2018-2019
Emiliano Buendia,Argentina,Norwich City,11,2018-2019
Conor Hourihane,Ireland,Aston Villa,11,2018-2019
Joe Lolley,England,Nottingham Forest,11,2018-2019
John Fleck,Scotland,Sheffield United,10,2018-2019
Lukas Jutkiewicz,England,Birmingham City,10,2018-2019
Jota Peleteiro,Spain,Birmingham City,10,2018-2019
Teemu Pukki,Finland,Norwich City,10,2018-2019
Onel Hernández,Cuba,Norwich City,9,2018-2019
John McGinn,Scotland,Aston Villa,9,2018-2019
Jayden Bogle,England,Derby County,8,2018-2019
Ahmed Elmohamady,Egypt,Aston Villa,8,2018-2019
João Carvalho,Portugal,Nottingham Forest,8,2018-2019
Mateusz Klich,Poland,Leeds United,8,2018-2019
Neal Maupay,France,Brentford FC,8,2018-2019
Oliver Norwood,Northern Ireland,Sheffield United,8,2018-2019
Bradley Dack,England,Blackburn Rovers,7,2018-2019
Paul Gallagher,Scotland,Preston North End,7,2018-2019
Lee Gregory,England,Millwall FC,7,2018-2019
Tom Ince,England,Stoke City,7,2018-2019
Dan James,Wales,Swansea City,7,2018-2019
Adam Reach,England,Sheffield Wednesday,7,2018-2019
Sergi Canós,Spain,Brentford FC,7,2018-2019
Will Vaulks,Wales,Rotherham United,7,2018-2019
Mario Vrančić,Bosnia-Herzegovina,Norwich City,7,2018-2019
Max Aarons,England,Norwich City,6,2018-2019
Ezgjan Alioski,North Macedonia,Leeds United,6,2018-2019
Luke Ayling,England,Leeds United,6,2018-2019
Harvey Barnes,England,West Bromwich Albion,6,2018-2019
Modou Barrow,Gambia,Reading FC,6,2018-2019
Chris Brunt,Northern Ireland,West Bromwich Albion,6,2018-2019
Fraizer Campbell,England,Hull City,6,2018-2019
Bersant Celina,Kosovo,Swansea City,6,2018-2019
Jake Cooper,England,Millwall FC,6,2018-2019
Mark Duffy,England,Sheffield United,6,2018-2019
Anwar el Ghazi,Netherlands,Aston Villa,6,2018-2019
Niclas Eliasson,Sweden,Bristol City,6,2018-2019
Luke Freeman,England,Queens Park Rangers,6,2018-2019
Jack Grealish,England,Aston Villa,6,2018-2019
Jonny Howson,England,Middlesbrough FC,6,2018-2019
James McClean,Ireland,Stoke City,6,2018-2019
Kenny McLean,Scotland,Norwich City,6,2018-2019
Steve Morison,Wales,Millwall FC,6,2018-2019
Matthew Phillips,Scotland,West Bromwich Albion,6,2018-2019
Nick Powell,England,Wigan Athletic,6,2018-2019
Romaine Sawyers,St. Kitts & Nevis,Brentford FC,6,2018-2019
Enda Stevens,Ireland,Sheffield United,6,2018-2019
Marco Stiepermann,Germany,Norwich City,6,2018-2019
Ollie Watkins,England,Brentford FC,6,2018-2019
Nahki Wells,Bermuda,Queens Park Rangers,6,2018-2019
Muhamed Bešić,Bosnia-Herzegovina,Middlesbrough FC,5,2018-2019
Alan Browne,Ireland,Preston North End,5,2018-2019
Leon Clarke,England,Wigan Athletic,5,2018-2019
Barry Douglas,Scotland,Leeds United,5,2018-2019
Lee Evans,Wales,Wigan Athletic,5,2018-2019
Jack Hunt,England,Bristol City,5,2018-2019
Daniel Johnson,Jamaica,Preston North End,5,2018-2019
Jacques Maghoma,Congo DR,Birmingham City,5,2018-2019
Jack Marriott,England,Derby County,5,2018-2019
Barrie McKay,Scotland,Swansea City,5,2018-2019
Lukas Nmecha,Germany,Preston North End,5,2018-2019
Ben Osborn,England,Nottingham Forest,5,2018-2019
Harrison Reed,England,Blackburn Rovers,5,2018-2019
Tyler Roberts,Wales,Leeds United,5,2018-2019
Jay Rodriguez,England,West Bromwich Albion,5,2018-2019
Matty Taylor,England,Bristol City,5,2018-2019
Andreas Weimann,Austria,Bristol City,5,2018-2019
Ché Adams,Scotland,Birmingham City,4,2018-2019
Joe Allen,Wales,Stoke City,4,2018-2019
Sammy Ameobi,England,Bolton Wanderers,4,2018-2019
Mason Bennett,England,Derby County,4,2018-2019
Jake Bidwell,England,Queens Park Rangers,4,2018-2019
Yannick Bolasie,Congo DR,Aston Villa,4,2018-2019
Jarrod Bowen,England,Hull City,4,2018-2019
Josh Brownhill,England,Bristol City,4,2018-2019
Sam Clucas,England,Stoke City,4,2018-2019
Evandro,Brazil,Hull City,4,2018-2019
Shane Ferguson,Northern Ireland,Millwall FC,4,2018-2019
Darnell Fisher,England,Preston North End,4,2018-2019
Craig Forsyth,Scotland,Derby County,4,2018-2019
Kieron Freeman,Wales,Sheffield United,4,2018-2019
Dael Fry,England,Middlesbrough FC,4,2018-2019
Kieran Gibbs,England,West Bromwich Albion,4,2018-2019
Danny Graham,England,Blackburn Rovers,4,2018-2019
Matt Grimes,England,Swansea City,4,2018-2019
Michael Jacobs,England,Wigan Athletic,4,2018-2019
Jamal Lewis,Northern Ireland,Norwich City,4,2018-2019
Massimo Luongo,Australia,Queens Park Rangers,4,2018-2019
Seán Maguire,Ireland,Preston North End,4,2018-2019
Connor Mahoney,England,Birmingham City,4,2018-2019
Oliver McBurnie,Scotland,Swansea City,4,2018-2019
David McGoldrick,Ireland,Sheffield United,4,2018-2019
Mason Mount,England,Derby County,4,2018-2019
Joe Newell,England,Rotherham United,4,2018-2019
Callum O'Dowda,Ireland,Bristol City,4,2018-2019
Jamie Paterson,England,Bristol City,4,2018-2019
Samu Sáiz,Spain,Leeds United,4,2018-2019
Freddie Sears,England,Ipswich Town,4,2018-2019
Billy Sharp,England,Sheffield United,4,2018-2019
Michael Smith,England,Rotherham United,4,2018-2019
Paweł Wszołek,Poland,Queens Park Rangers,4,2018-2019
Andy Yiadom,Ghana,Reading FC,4,2018-2019
Tammy Abraham,England,Aston Villa,3,2018-2019
Adam Armstrong,England,Blackburn Rovers,3,2018-2019
Leandro Bacuna,Curaçao,Reading FC,3,2018-2019
Elliott Bennett,Jamaica,Blackburn Rovers,3,2018-2019
Nathan Byrne,England,Wigan Athletic,3,2018-2019
Maxime Colin,France,Birmingham City,3,2018-2019
Jay Dasilva,Wales,Bristol City,3,2018-2019
Jordy de Wijs,Netherlands,Hull City,3,2018-2019
Eberechi Eze,England,Queens Park Rangers,3,2018-2019
Morgan Fox,Wales,Sheffield Wednesday,3,2018-2019
Gary Gardner,England,Birmingham City,3,2018-2019
Dwight Gayle,England,West Bromwich Albion,3,2018-2019
Lewis Grabban,Jamaica,Nottingham Forest,3,2018-2019
Mason Holgate,England,West Bromwich Albion,3,2018-2019
Reece James,England,Wigan Athletic,3,2018-2019
Stefan Johansen,Norway,West Bromwich Albion,3,2018-2019
Bradley Johnson,England,Derby County,3,2018-2019
Garath McCleary,Jamaica,Reading FC,3,2018-2019
Jefferson Montero,Ecuador,West Bromwich Albion,3,2018-2019
Daryl Murphy,Ireland,Nottingham Forest,3,2018-2019
Jack O'Connell,England,Sheffield United,3,2018-2019
Paweł Olkowski,Poland,Bolton Wanderers,3,2018-2019
