Player,Country,Team,Assists,Season
Barry Douglas,Scotland,Wolverhampton Wanderers,14,2017-2018
Robert Snodgrass,Scotland,Aston Villa,14,2017-2018
Luke Freeman,England,Queens Park Rangers,12,2017-2018
Ivan Cavaleiro,Portugal,Wolverhampton Wanderers,12,2017-2018
Junior Hoilett,Canada,Cardiff City,11,2017-2018
Adam Reach,England,Sheffield Wednesday,11,2017-2018
Martyn Waghorn,England,Ipswich Town,11,2017-2018
Adama Traoré,Spain,Middlesbrough FC,10,2017-2018
Mark Duffy,England,Sheffield United,9,2017-2018
Matt Smith,England,Queens Park Rangers,9,2017-2018
Jed Wallace,England,Millwall FC,9,2017-2018
Stefan Johansen,Norway,Fulham FC,8,2017-2018
James Maddison,England,Norwich City,8,2017-2018
Steve Morison,Wales,Millwall FC,8,2017-2018
Pablo Hernández,Spain,Leeds United,8,2017-2018
Jamie Paterson,England,Bristol City,8,2017-2018
Tom Barkhuizen,England,Preston North End,7,2017-2018
Bobby De Cordova-Reid,Jamaica,Bristol City,7,2017-2018
Stewart Downing,England,Middlesbrough FC,7,2017-2018
John Fleck,Scotland,Sheffield United,7,2017-2018
Ryan Fredericks,England,Fulham FC,7,2017-2018
Florian Jozefzoon,Suriname,Brentford FC,7,2017-2018
Jonas Knudsen,Denmark,Ipswich Town,7,2017-2018
Tom Lawrence,Wales,Derby County,7,2017-2018
Gary Madine,England,Cardiff City,7,2017-2018
Barrie McKay,Scotland,Nottingham Forest,7,2017-2018
Callum Robinson,Ireland,Preston North End,7,2017-2018
Samu Sáiz,Spain,Leeds United,7,2017-2018
Lucas Akins,England,Burton Albion,6,2017-2018
Hélder Costa,Angola,Wolverhampton Wanderers,6,2017-2018
Jackson Irvine,Australia,Hull City,6,2017-2018
Jacques Maghoma,Congo DR,Birmingham City,6,2017-2018
Ben Marshall,England,Wolverhampton Wanderers,6,2017-2018
Marlon Pack,England,Bristol City,6,2017-2018
Ryan Sessegnon,England,Fulham FC,6,2017-2018
Andreas Weimann,Austria,Derby County,6,2017-2018
Albert Adomah,Ghana,Aston Villa,5,2017-2018
Ezgjan Alioski,North Macedonia,Leeds United,5,2017-2018
Josh Brownhill,England,Bristol City,5,2017-2018
Tom Cairney,England,Fulham FC,5,2017-2018
Lee Cattermole,England,Sunderland AFC,5,2017-2018
Cyrus Christie,Ireland,Middlesbrough FC,5,2017-2018
